class,precision,recall,f1_score,support
fold 1,,,,
0,0.9324,0.972,0.9518,8835
1,0.0,0.0,0.0,61
2,0.9461,0.9985,0.9716,686
3,0.0,0.0,0.0,7
4,0.898,0.9888,0.9412,89
5,0.0,0.0,0.0,3
6,0.0,0.0,0.0,64
7,0.0,0.0,0.0,7
8,0.0,0.0,0.0,8
9,0.0,0.0,0.0,17
10,0.5378,0.9239,0.6798,670
11,0.0,0.0,0.0,21
12,0.1284,0.6667,0.2154,21
13,0.0,0.0,0.0,22
14,0.6797,0.7565,0.716,115
15,0.9618,0.9945,0.9779,4152
16,0.4438,0.565,0.4971,908
17,0.0,0.0,0.0,11
18,0.0,0.0,0.0,124
19,0.1415,0.0955,0.1141,157
20,0.1667,0.0069,0.0133,144
21,0.0,0.0,0.0,75
22,0.0,0.0,0.0,3
23,0.0,0.0,0.0,14
24,0.0,0.0,0.0,3
25,0.0,0.0,0.0,255
26,0.0,0.0,0.0,389
27,0.0,0.0,0.0,4
28,0.0,0.0,0.0,6
29,0.0,0.0,0.0,16
30,0.0,0.0,0.0,43
31,0.0,0.0,0.0,6
32,0.0,0.0,0.0,5
33,0.0,0.0,0.0,16
34,0.0,0.0,0.0,5
35,0.0,0.0,0.0,5
36,0.0,0.0,0.0,10
37,0.0,0.0,0.0,8
macro,0.15358216716460535,0.18337743823186883,0.15995340264818533,0
fold 2,,,,
0,0.9435,0.9606,0.952,8835
1,0.0,0.0,0.0,68
2,0.9861,0.9845,0.9853,647
3,0.0,0.0,0.0,2
4,0.8476,0.9889,0.9128,90
6,1.0,0.0152,0.0299,66
7,0.0,0.0,0.0,8
8,0.0,0.0,0.0,5
9,0.0,0.0,0.0,13
10,0.5321,0.9024,0.6695,615
11,0.0,0.0,0.0,11
12,0.1135,0.8889,0.2013,18
13,0.0,0.0,0.0,23
14,0.8017,0.8362,0.8186,116
15,0.9497,0.9988,0.9737,4255
16,0.4446,0.4904,0.4663,883
17,0.0,0.0,0.0,10
18,0.0888,0.119,0.1017,126
19,0.0521,0.0862,0.0649,116
20,0.1167,0.0864,0.0993,162
21,0.0,0.0,0.0,70
22,0.0,0.0,0.0,3
23,0.0,0.0,0.0,16
24,0.0,0.0,0.0,6
25,0.0,0.0,0.0,261
26,0.0,0.0,0.0,408
27,0.0,0.0,0.0,4
28,0.0,0.0,0.0,2
29,0.0,0.0,0.0,27
30,0.0,0.0,0.0,48
31,0.0,0.0,0.0,7
32,0.0,0.0,0.0,5
33,0.0,0.0,0.0,20
34,0.0,0.0,0.0,11
35,0.0,0.0,0.0,3
36,0.0,0.0,0.0,18
37,0.0,0.0,0.0,7
macro,0.18584445635854285,0.19885414527707318,0.1695997495531634,0
fold 3,,,,
0,0.9022,0.9427,0.922,8835
1,0.0,0.0,0.0,64
2,0.9557,0.9921,0.9736,631
3,0.0,0.0,0.0,6
4,0.6471,1.0,0.7857,66
5,0.0,0.0,0.0,1
6,0.0,0.0,0.0,61
7,0.0,0.0,0.0,3
8,0.0,0.0,0.0,4
9,0.0,0.0,0.0,17
10,0.5909,0.8986,0.713,651
11,0.0,0.0,0.0,15
12,0.0657,0.6429,0.1192,14
13,0.0,0.0,0.0,25
14,0.5281,0.7966,0.6351,118
15,0.9439,0.9066,0.9249,4283
16,0.4253,0.5478,0.4788,847
17,0.0,0.0,0.0,4
18,0.2727,0.4048,0.3259,126
19,0.0797,0.1606,0.1065,137
20,0.5385,0.0467,0.0859,150
21,0.0,0.0,0.0,93
22,0.0,0.0,0.0,4
23,0.0,0.0,0.0,13
24,0.0,0.0,0.0,6
25,0.0,0.0,0.0,223
26,0.0,0.0,0.0,409
27,0.0,0.0,0.0,2
28,0.0,0.0,0.0,4
29,0.0,0.0,0.0,23
30,0.0,0.0,0.0,63
31,0.0,0.0,0.0,7
32,0.0,0.0,0.0,7
33,0.0,0.0,0.0,27
34,0.0,0.0,0.0,13
35,0.0,0.0,0.0,9
36,0.0,0.0,0.0,16
37,0.0,0.0,0.0,8
macro,0.15657135738180022,0.19314011927584868,0.1597529612589466,0
fold 4,,,,
0,0.9594,0.9878,0.9734,8835
1,0.0,0.0,0.0,70
2,0.9573,0.9874,0.9721,635
3,0.0,0.0,0.0,3
4,0.8701,0.9853,0.9241,68
5,0.0,0.0,0.0,7
6,0.0,0.0,0.0,54
7,0.0,0.0,0.0,6
8,0.0,0.0,0.0,9
9,0.0,0.0,0.0,23
10,0.5446,0.9683,0.6971,631
11,0.0,0.0,0.0,19
12,0.1261,0.7778,0.2171,18
13,0.0,0.0,0.0,20
14,0.7357,0.7923,0.763,130
15,0.9733,0.9995,0.9862,4261
16,0.4763,0.6017,0.5317,969
17,0.0,0.0,0.0,7
18,0.0,0.0,0.0,124
19,0.0577,0.0647,0.061,139
20,0.2963,0.0488,0.0838,164
21,0.0,0.0,0.0,69
22,0.0,0.0,0.0,4
23,0.0,0.0,0.0,9
24,0.0,0.0,0.0,7
25,0.0,0.0,0.0,207
26,0.0,0.0,0.0,377
27,0.0,0.0,0.0,2
28,0.0,0.0,0.0,8
29,0.0,0.0,0.0,13
30,0.0,0.0,0.0,44
31,0.0,0.0,0.0,3
32,0.0,0.0,0.0,5
33,0.0,0.0,0.0,14
34,0.0,0.0,0.0,14
35,0.0,0.0,0.0,1
36,0.0,0.0,0.0,13
37,0.0,0.0,0.0,3
macro,0.15780992725124104,0.18983083777492063,0.16340624487402494,0
fold 5,,,,
0,0.9531,0.9881,0.9703,8835
1,0.0,0.0,0.0,59
2,0.9877,0.9892,0.9885,649
3,0.0,0.0,0.0,6
4,0.7881,1.0,0.8815,93
5,0.0,0.0,0.0,2
6,0.0,0.0,0.0,55
7,0.0,0.0,0.0,6
8,0.0,0.0,0.0,3
9,0.0,0.0,0.0,18
10,0.523,0.9563,0.6762,618
11,0.0,0.0,0.0,10
12,0.1909,0.875,0.3134,24
13,0.0,0.0,0.0,27
14,0.8957,0.763,0.824,135
15,0.965,0.9978,0.9812,4175
16,0.4782,0.5984,0.5316,991
17,0.0,0.0,0.0,4
18,0.0,0.0,0.0,97
19,0.0392,0.031,0.0346,129
20,0.2941,0.035,0.0625,143
21,1.0,0.0114,0.0225,88
22,0.0,0.0,0.0,6
23,0.0,0.0,0.0,10
24,0.0,0.0,0.0,5
25,0.0,0.0,0.0,240
26,0.0,0.0,0.0,418
27,0.0,0.0,0.0,1
28,0.0,0.0,0.0,2
29,0.0,0.0,0.0,26
30,0.0,0.0,0.0,42
31,0.0,0.0,0.0,10
32,0.0,0.0,0.0,4
33,0.0,0.0,0.0,16
34,0.0,0.0,0.0,9
35,0.0,0.0,0.0,3
36,0.0,0.0,0.0,21
37,0.0,0.0,0.0,5
macro,0.1872377876226027,0.19066235452661803,0.1654272587728424,0
fold 6,,,,
0,0.9333,0.9719,0.9522,8835
1,0.0,0.0,0.0,48
2,0.9717,0.9772,0.9745,703
3,0.0,0.0,0.0,9
4,0.7642,1.0,0.8663,81
5,0.0,0.0,0.0,3
